frame_idx	timestamp_ns	ev_a	ev_b	range_a_m	range_b_m	scale_ratio	precision_pct	recall_pct	f1_pct	fp_count	fn_count
0	1784131444215754000	731	668	25.123	4.264	0.169	0.0	0.0	0.0	731	668
1	1784131444451607000	734	668	24.913	4.264	0.171	0.0	0.0	0.0	734	668
2	1784131444674728000	731	668	25.123	4.264	0.169	0.0	0.0	0.0	731	668
3	1784131445732778000	734	667	24.772	4.264	0.172	0.0	0.0	0.0	734	667
4	1784131446094766000	868	371	22.642	12.214	0.539	0.8	5.1	1.3	861	352
5	1784131446389679000	863	362	22.895	9.959	0.434	1.1	6.0	1.9	853	340
6	1784131446654482000	867	378	21.194	11.121	0.524	2.1	5.8	3.1	848	356
7	1784131446926740000	865	365	22.331	8.042	0.36	1.2	6.0	2.1	854	343
8	1784131447192167000	863	363	23.295	9.756	0.418	1.1	5.7	1.9	853	342
9	1784131447485503000	860	365	22.982	9.959	0.433	1.9	6.5	3.0	843	341
10	1784131447814146000	859	362	21.752	9.959	0.457	0.5	3.5	1.0	854	349
11	1784131448162947000	860	362	21.958	9.959	0.453	0.5	3.0	0.9	855	351
12	1784131448526936000	866	379	21.683	9.908	0.456	2.5	7.3	3.7	844	351
13	1784131448880434000	862	363	23.381	9.959	0.425	0.5	4.9	1.0	857	345
14	1784131449233459000	866	389	23.177	12.457	0.537	2.3	5.1	3.1	846	369
15	1784131449495377000	863	363	23.413	9.959	0.425	0.6	1.9	1.0	857	356
16	1784131449797867000	869	389	22.049	12.656	0.574	3.2	9.5	4.8	841	352
17	1784131450053472000	865	362	22.927	11.008	0.48	0.3	3.0	0.6	862	351
18	1784131450337496000	868	378	22.631	11.008	0.486	3.2	7.9	4.5	840	348
19	1784131450605375000	859	365	21.463	11.008	0.512	1.2	5.4	2.0	848	345
20	1784131450868072000	867	410	22.873	4.918	0.215	1.9	6.8	3.0	850	382
21	1784131451149480000	859	443	24.437	2.586	0.105	1.0	3.3	1.6	850	428
22	1784131451418253000	859	438	23.466	3.699	0.157	1.3	5.7	2.2	847	413
23	1784131451780953000	857	458	23.668	6.759	0.285	1.1	3.2	1.7	847	443
24	1784131452076864000	854	437	24.076	7.758	0.322	0.3	0.4	0.3	851	435
25	1784131452366032000	864	439	20.765	9.934	0.478	2.7	8.8	4.2	840	400
26	1784131452636016000	865	438	20.51	11.903	0.58	2.6	5.4	3.5	842	414
27	1784131452940125000	866	446	20.327	13.881	0.682	2.8	5.1	3.7	841	423
28	1784131453220502000	878	433	19.74	13.935	0.705	17.5	23.7	20.1	724	330
29	1784131453530028000	887	458	17.597	14.463	0.821	24.8	36.0	29.3	667	293
30	1784131453800931000	878	430	17.166	14.077	0.82	24.7	39.3	30.3	661	261
31	1784131454087349000	888	455	16.176	14.463	0.894	27.4	47.9	34.9	644	237
32	1784131454372951000	879	430	16.452	14.289	0.868	26.1	46.9	33.6	649	228
33	1784131454669850000	882	449	16.783	14.446	0.86	26.9	46.5	34.1	644	240
34	1784131454991620000	884	431	16.391	14.289	0.871	26.8	49.4	34.7	647	218
35	1784131455268902000	885	441	17.02	14.289	0.839	25.7	44.4	32.6	657	245
36	1784131455538385000	878	443	16.315	14.306	0.876	28.3	48.9	35.9	629	226
37	1784131455821417000	888	432	17.354	14.131	0.814	26.0	43.7	32.6	657	243
38	1784131456098008000	882	459	16.391	14.306	0.872	28.1	39.8	32.9	634	276
39	1784131456359784000	879	429	17.02	14.06	0.826	24.9	32.6	28.2	660	289
40	1784131456619893000	885	459	16.376	14.166	0.865	31.0	40.9	35.3	610	271
41	1784131456897409000	887	431	16.946	14.095	0.831	25.9	35.4	29.9	657	278
42	1784131457248017000	889	468	15.907	14.289	0.898	28.6	40.5	33.6	634	278
43	1784131457600160000	886	427	16.708	14.077	0.842	25.7	39.3	31.1	658	259
44	1784131457866557000	889	465	16.315	14.703	0.901	30.9	48.6	37.8	614	239
